Sentence,Type,Group,Item
Some owls are birds.,1,A,1
Some cats are mammals.,1,A,2
Some monkeys are mammals.,1,A,3
Some birds are eagles.,2,A,4
Some mammals are sheeps.,2,A,5
Some mammals are bears.,2,A,6
Some pigeons are fish.,3,A,7
Some horses are reptiles.,3,A,8
Some elephants are reptiles.,3,A,9
All crows are birds.,4,A,10
All peacocks are birds.,4,A,11
All cows are mammals.,4,A,12
All birds are canaries.,5,A,13
All birds are vultures.,5,A,14
All mammals are pigs.,5,A,15
All sparrows are reptiles.,6,A,16
All parrots are reptiles.,6,A,17
All dogs are shellfish.,6,A,18
Some sparrows are birds.,1,B,19
Some horses are mammals.,1,B,20
Some ants are insects.,1,B,21
Some reptiles are newts.,2,B,22
Some mammals are dogs.,2,B,23
Some mammals are elephants.,2,B,24
Some alligators are birds.,3,B,25
Some pigs are reptiles.,3,B,26
Some scallops are insects.,3,B,27
All butterflies are insects.,4,B,28
All owls are birds.,4,B,29
All sharks are fish.,4,B,30
All reptiles are iguanas.,5,B,31
All mammals are cats.,5,B,32
All birds are pigeons.,5,B,33
All mussels are birds.,6,B,34
All flies are mammals.,6,B,35
All piranhas are insects.,6,B,36
Some lizards are reptiles.,1,C,37
Some dogs are mammals.,1,C,38
Some butterflies are insects.,1,C,39
Some mammals are monkeys.,2,C,40
Some reptiles are crocodiles.,2,C,41
Some shellfish are barnacles.,2,C,42
Some cockroaches are shellfish.,3,C,43
Some scallops are insects.,3,C,44
Some cats are mammals.,3,C,45
All piranhas are fish.,4,C,46
All ants are insects.,4,C,47
All carps are fish.,4,C,48
All birds are owls.,5,C,49
All reptiles are frogs.,5,C,50
All insects are bees.,5,C,51
All crabs are birds.,6,C,52
All beetles are mammals.,6,C,53
All vultures are reptiles.,6,C,54
Some crocodiles are reptiles.,1,D,55
Some vultures are birds.,1,D,56
Some flies are insects.,1,D,57
Some shellfish are barnacles.,2,D,58
Some reptiles are turtles.,2,D,59
Some reptiles are alligators.,2,D,60
Some salamanders are birds.,3,D,61
Some tunas are insects.,3,D,62
Some parrots are fish,3,D,63
All horses are mammals.,4,D,64
All snakes are reptiles.,4,D,65
All cockroaches are insects.,4,D,66
All mammals are monkeys.,5,D,67
All shellfish are shellfish.,5,D,68
All fish are cods.,5,D,69
All sparrows are reptiles.,6,D,70
All lizards are fish.,6,D,71
All sharks are insects.,6,D,72
